nombre_articulo,precio,calificacion_promedio,cantidad_calificaciones,descripcion,enlace_articulo
"Shure Mv7+-W Micrófono Dinámico Conexión Usb/xlr, White Color Color Blanco",1650000,5.0,3,Recomendado para  doblaje. | Formato:estudio. | Frecuencia mínima: 20Hz. | Elemento indispensable para tu estudio de grabación. | Frecuencia máxima: 20 MHz.,https://click1.mercadolibre.com.co/mclics/clicks/external/mco/count?a=esihxoquby%2fkyp3bmmvequ78efe6yvl82ze9xhaycmtdnauzgy0bpfypky9ga7uqpf521wiaxajsydh77ftfylfifcwx601kgx11spatkzljcfpuvajgdy6gynqtbrhcozg4u4wpciq%2b6wx56aib6ppytiufkw30tlx2rydibkh%2bzjs0dnbggcyf5anw49u0lzj8wdatpopcyi8%2bf7tjpfnck8qon20uur%2buekuhlv0wmlgctqjxj0ft9d4oicgzlvezyudnz5pjhdbcm4jihenhlxmariedfx7rr0k7pxsr%2f9nyijnx1xtlwhg85iicrcfqgf2ixud7dmffhjcfjiyjzewzy%2bjjebtwrgn%2bat66ji%2b8oa8m2c%2fkb8yk%2fjrci%2fu2ibfmthqwt6rc%2fnpegjh%2flztgyytaspfklbwcok2wz%2bhnlsb5awclha%2blp%2fqjptterzhe8s3ii745hbgbol4iv%2b4o0pznejl86llc2cj%2fotu%2f7ymbbruzovajlp%2b0e%2buhgswgonessbl77wt0kelthf7zlmxa%2flqpvjslpgzhatji4p9amibduvo4eixqizibdw1ropmeksq8dy4j2iay2xzbcsxas%2fisjmi46%2b2nzu74mjaqhycbj2i8yqbezfhnb9a5hyygp4halcxa0fapghnev%2bdbxoukwl6dr1zhpsa%2bch%2f%2b8bd89u%2f9ofqhxyca5ejzvzecktmtvgyicr6b2vgrg3ttpuyr15qe0hxerzim2yyyuxu6nbwr3sdiql5yznfyqf7w9us4dgnztt3vi0isca%2ffc2adlderip67dnnjndhqekequexiu7dnfrs5tx9r%2beoobec8pgcprp1y0fmittqp%2bctxlh%2frsaqnmfd2q9r%2bp%2bmuilt1kkmvpifoy%2fuorlvsos92mtme1%2behpudfrrknhx7kccjkevj%2bbob3ux5v2ujpqnlhhga7lnmofgnq5pfacl55ndsg
Micrófono Shure MV7+ USB Color Negro,97100,5.0,9,Formato:estudio. | Frecuencia mínima: 50Hz. | Elemento indispensable para tu estudio de grabación. | Fácil conectividad. | Aislamiento de Voz. | Salida para auriculares. | Frecuencia máxima: 16 kHz.,https://click1.mercadolibre.com.co/mclics/clicks/external/mco/count?a=xmgf%2fdrbry8q2z8ih0mobtpmy6walb%2fe2ddabaewhwdrzwtee5nhanclex7hoy%2b6dp%2bnanqpqdo79bvaa109wd8nwy7txhmxm%2bo5esdozwnen%2bmx1xbfg10movvfuv6ki3pf%2fiv655boxuzckdvrfbnbuoswf8coxojjr1rplpqi0bnzg67dvk0wmoxq%2b98waggpbnjzhhpythqattm18fpfkbcad%2fnis%2btfw3ln1tyym5vheldniuhb5xfaiifhyafxolikfdueys8f6srmdqtq1fxrijyteyahgr6pwchit2ytfnccq34yeomh7oog3bymtsu8hwtlehgdfhb%2b4vbb1wxxhtevcubpgl7vx0gnbbz9mejoryczqj88jt%2fjjaobah9sp%2ffki8n4ky5bmpmpfut3rxlpqvmo9e%2bqgiplj8s7oltpm6pxoxdhlrtaiswsixqjwtip9iyy%2f26cydcmbc1v6jd4kkdhwo7ukqi1c1kfj30mmxbb5bir2jfha3ofcxg%2bfhycevofahreewopur9b3c0m1xksucojwj6e95fge8x60ncblzoic%2bm92goqnxh6uqycmqjhsvvueqvqwq%2bwg9%2flpuqi%2fckytmaztn%2btpthke%2fkwvfn%2baofhspklqpiatabj%2bfnd2wmqjsyaigik5%2fcmtxstmicfmvg7gjrbizsmbqsidy2slgi%2bw7r2kooiafwcgcl1vcxfwihwiiqiyib5cdppyvuieepn0avn3yaxjs5q5buwaxrrh4jafct984pscig4yfwhe36tsv4jgnzquecgwgg%2f1opv9yi%2bsy9atb5hyt%2fujztcqw580o0vuoauo4s%2bbeperbwx8kpceilohbjnguwgeb6j9ybgfkwa23kr%2fuew72ia2%2bufgojzy9wa%2fwtu3hzq3qngupemh0xhpa%3d%3d
Micrófono Shure SV SV200 Dinámico Cardioide color negroS,129900,4.8,228,Recomendado para   voces. | Formato:de mano. | Conector/es de salida:xlr. | Frecuencia mínima: 50Hz. | Siente la libertad y el dinamismo al grabar con tu micrófono de mano. | Incluye: cable xlr. | Frecuencia máxima: 15 kHz.,https://www.mercadolibre.com.co/microfono-shure-sv-sv200-dinamico-cardioide-color-negros/p/mco18302793
Micrófono Shure SV100 vocal dinámico color negro,125000,4.8,184,Recomendado para   instrumentos. | Formato:de mano. | Dispositivos compatibles: mezcladores. | Cable de 4.5m. | Conector/es de salida:xlr. | Frecuencia máxima: 15kHz. | Frecuencia mínima: 50Hz. | Siente la libertad y el dinamismo al grabar con tu micrófono de mano. | Incluye: 1 cable xlr-jack 6.3 mm.,https://www.mercadolibre.com.co/microfono-shure-sv100-vocal-dinamico-color-negro/p/mco22441900
Micrófono Shure MV7+ USB Color Negro,97100,5.0,9,Formato:estudio. | Frecuencia mínima: 50Hz. | Elemento indispensable para tu estudio de grabación. | Fácil conectividad. | Aislamiento de Voz. | Salida para auriculares. | Frecuencia máxima: 16 kHz.,https://www.mercadolibre.com.co/microfono-shure-mv7-usb-color-negro/p/mco37652805
Micrófono Shure SV SV200 Dinámico Cardioide color negroS,129900,4.8,228,Recomendado para   voces. | Formato:de mano. | Conector/es de salida:xlr. | Frecuencia mínima: 50Hz. | Siente la libertad y el dinamismo al grabar con tu micrófono de mano. | Incluye: cable xlr. | Frecuencia máxima: 15 kHz.,https://click1.mercadolibre.com.co/mclics/clicks/external/mco/count?a=nk6g4uf6crvmzdnmliu87lq%2bg8kxah6dmv2okyaaevt%2fqlkqndduf9sch32bjxliettr9bxwkkvqmvzs%2fbmpga8qwfwbnf1xietbs2raxqhj%2foxmw7e9sepxbp%2bdd4nlwilr3mxeurjqcpned9rsdodtzfyrwaxt2jpbjwadgnfs%2fyiou%2b7zgbk5fbg5x7faywqkintrwibqlxvk8ameacnhammqf7bfno5ul1ngycw%2bbktfvfvlpk%2boadg35gcpxoxa7gx4ppril2ro3bjrnng3sm9%2fdhbxpuiu1vamtaiu007x4k0a3fmvy7pvsclwnonicukj1jslk8wpuy69850rkxyfcj2jb0qslwj6zoivhwuuciyxrn6l6eji0atawe4plylqb1jnl8pk%2bs8bu0z%2bksvgalfeuvfbw%2fp0oausinizbqrhjucay%2beaszzfubkjedtk4tx9ckx7amt%2fvjwiykbc16ratxobewtmqa%2fshcbohsogewqrswqk4ttiwe5wbqvdfywtdnx8xuvpqqzspvutkzup1jffshc3xhwrc0qcov2khoknmdneqtw%2bw1dpxamei1%2fss%2be1xigxicpcitye0y4kgvlal64%2b07ld4wek9zolqvg4wfuz1he%2bhbn0l4wgjh5oxv%2fwbpsfyqr3w27qogmdammibllqtxlvjhflotx%2bixventvrvqdnebz5ntnqwmma61xdm742gjpozvjm2yjixnbxuacimjhuylh4h%2b1r5kwgweah7hy9f2hs7%2frqbbni8jhvcegjb0v0m7dkov0h21vbsiz6i2bxxszodni6zrrytemff8mbjcf1%2bj%2fgm5wvuowsqtv8jttkw4cbxbuw0ej0ql4buzbypcvrbpofedaxw6tqw0oy%2frthloz1uyo3wpbuxfqlne%2bh8phorjyz7paiepclywfh7pvmnmcigcosn4rw
Micrófono Shure MV7X Dinámico Cardioide Conector XLR color negro,1355000,5.0,4,"Recomendado para   podcast. | Formato:estudio. | Dispositivos compatibles: interfaces de audio. | Frecuencia mínima: 50Hz. | Elemento indispensable para tu estudio de grabación. | Incluye: 1 antiviento. | Conector XLR únicamente, no incluye cable | Frecuencia máxima: 16 kHz.",https://click1.mercadolibre.com.co/mclics/clicks/external/mco/count?a=m0mj%2ftif5jxntlcsvw7zsiprq1t9zeyuph3o5iw%2bjjhocq13wtps%2bglmll2g2jsdycgyhwu1qeiqmknrqnjkpdpqvrjeb47f%2bbpmnubcjfafvmy5opyemzediqicchw672emaejlsldjqylxjjgqal5mek%2bp2bzeyloxnfqroqgcoqoygfjsli%2fpa2t9caan6eq0bqpfxltpfy1r2wpifyzdworekpf1ekd3glqahnvcgizr%2behomqkirde%2b%2fluur2w1puupch6eyiyjhw0ap3havxz9kewgjqiybyxnh0lbuj93pbemi4zild6qrmlf885dqjw6k1lr6hhjrgdv12paqspqlo3vkqr7bymdx4njia0mc%2bcf5gbmo0cwsycd3oxyj9cw0rj4i31ann8c7x0ggjighlvfxbmizqxnqjbgmqgigqd%2b5nu6%2bs3whcuj28dzz6tx%2ffamqb1%2fylzc34wp106y1uh3yofcnnvv%2fromejr21fqtrtouckhdspxqfk03vuytorjgvb3bofoenustyl1%2bandily8mmgqzu3gbppjdpdhymxclsoklk6v5ebug%2btcthzjwhb49k%2bdaghklqucgdcm94zelw2w%2f50mgcf%2b1gbpqzp%2bxwjcsxdnjf0qppgufdme6yfwyjxpovwmbfvvo79rfft2yb0wou%2brjiag9xtjtzrnxf0d0o1cb%2b0djf6dlcvs195sdr08zkwuobn4of7orjwbeh0inqa%2fcfo3b%2fn34a17mlejmcjzmish1jis1km8vrax%2f%2bbwxu2eqhlzngv5%2bzme7wjfz5qo3amsyaqiantngblbxbzu3akp1o97iukkxz5k8o56v200g5d9wuanwgblrtopl4%2f4gsoljhd3zu1seif%2b027lp42mpq%2fch4zllng6fk5r3eu2oq48hnwyvtr2d5hjygc6r5ceabrmfy6tekv%2bltffkewlq28im
Micrófono Vocal Dinámico Shure Sm7db Con Preamplificador Inc,239300,5.0,5,,https://www.mercadolibre.com.co/microfono-vocal-dinamico-shure-sm7db-con-preamplificador-inc/p/mco28447183
Micrófono Shure SM SM58-LC Dinámico Cardioide color gris oscuro y plateado,625000,4.9,71,Recomendado para   actuaciones. | Formato:de mano. | Conector/es de salida:xlr-3. | Frecuencia mínima: 50Hz. | Siente la libertad y el dinamismo al grabar con tu micrófono de mano. | Incluye: 1 adaptador de soporte. | Frecuencia máxima: 15 kHz.,https://www.mercadolibre.com.co/microfono-shure-sm-sm58-lc-dinamico-cardioide-color-gris-oscuro-y-plateado/p/mco18332604
Micrófono Shure PG Alta PGA48-XLR Dinámico Cardioide color negro/plateadoS,335800,4.8,109,Recomendado para   actuaciones. | Formato:de mano. | Cable de 0cm. | Conector/es de salida:xlr-3. | Frecuencia mínima: 70Hz. | Siente la libertad y el dinamismo al grabar con tu micrófono de mano. | Incluye: adaptador de soporte. | Frecuencia máxima: 15 kHz.,https://www.mercadolibre.com.co/microfono-shure-pg-alta-pga48-xlr-dinamico-cardioide-color-negroplateados/p/mco16209549
